Gender,Percent_SSC,Percent_HSC,Percent_Degree,Experience_Yrs,S-TEST,Percentile_ET,S-TEST*SCORE,Percent_MBA,Marks_Communication,Marks_Projectwork,Marks_BOCA
0,-0.848455569,0.466512419,0.193463616,-0.739084236,0.4632223,0.012929294,0.012929294,0.21854084,-1.188518005,0.941215474,0.138755667
0,1.748967069,-0.31559471,1.722331074,0.719634651,0.4632223,1.075081932,1.075081932,1.907847587,1.432375007,2.084970986,1.297980225
1,0.674171495,1.248619549,0.37146747,-0.739084236,-2.158790717,-1.757325101,-1.757325101,-1.499921454,-1.188518005,-1.060356673,-0.598932688
1,-0.955935126,-1.506135563,0.313588916,-0.739084236,0.4632223,-0.76887942,-0.76887942,-0.969976495,-0.846662395,-1.918173307,-1.020468891
1,-0.490190377,0.987917172,0.193463616,-0.739084236,0.4632223,-0.630799577,-0.630799577,0.146509487,-0.162951174,1.084184913,-0.915084841
1,-0.167751705,-1.132462156,-1.226199023,-0.739084236,0.4632223,-0.645927205,-0.645927205,-0.518923019,0.178904436,-1.632234429,-0.915084841
1,1.122002984,0.118909251,0.739487708,-0.739084236,0.4632223,1.042895488,1.042895488,1.609431979,1.090519397,0.655276596,2.03566858
1,1.557295192,-0.141793126,1.394716619,-0.739084236,0.4632223,1.316480258,1.316480258,1.178958889,-0.732710525,-0.202540039,1.297980225
1,-0.454363858,0.216238138,-0.549129149,-0.739084236,0.4632223,0.399166617,0.399166617,0.170519938,-0.732710525,-0.488478917,-1.231236993
1,0.516534811,-1.807681312,-0.323075175,2.178353538,0.4632223,0.302607286,0.302607286,0.784501476,0.520760046,1.942001547,1.508748327
1,-0.114011926,0.362231469,-0.068627948,2.178353538,0.4632223,1.33257348,1.33257348,1.576846367,-0.846662395,1.084184913,0.771059971
1,-0.931752226,0.582090473,-0.461765294,0.719634651,0.4632223,-0.200144962,-0.200144962,-0.992271914,-0.276903044,-1.775203868,-1.125852942
1,0.04720741,-0.750098671,-0.352560476,-0.739084236,0.4632223,0.21506016,0.21506016,-0.265098249,0.178904436,0.512307157,0.033371616
1,-0.400624079,-0.054892334,-0.570970113,-0.739084236,0.4632223,0.656658165,0.656658165,-0.661270694,-0.732710525,-0.345509478,-0.282780536
1,1.211569282,-0.054892334,-0.570970113,-0.739084236,0.4632223,1.236014149,1.236014149,0.155084648,-0.276903044,-0.202540039,0.56029187
1,0.763737793,-1.358404216,-0.78937975,-0.739084236,-2.158790717,-1.757325101,-1.757325101,-0.278818506,-1.188518005,0.655276596,-0.704316739
1,-0.221491484,-0.141793126,0.848692527,3.637072424,0.4632223,0.141675069,0.141675069,1.383047725,0.292856306,0.369337718,-0.388164587
0,0.942870389,0.90101638,1.613126255,-0.739084236,0.4632223,0.173861512,0.173861512,0.868538056,1.204471267,0.083398839,0.244139718
1,-0.400624079,-0.941280414,1.094403368,0.719634651,0.4632223,0.012929294,0.012929294,-1.728020741,-0.846662395,-2.347081624,-0.704316739
0,0.853304091,1.770024302,-1.116994205,-0.739084236,0.4632223,0.431353061,0.431353061,1.196109212,1.204471267,2.513879303,-1.125852942
1,0.143939012,-0.923900255,-0.78937975,-0.739084236,0.4632223,0.527912391,0.527912391,0.691889736,-0.276903044,0.941215474,0.876444022
1,-0.938021866,-0.31559471,-0.352560476,-0.739084236,0.4632223,-0.148002923,-0.148002923,-0.849924239,-0.618758655,0.083398839,-0.598932688
1,1.211569282,1.248619549,-1.335403842,-0.739084236,-2.158790717,-1.757325101,-1.757325101,-1.138049654,-0.732710525,-1.775203868,-1.547389145
1,0.226340006,-0.750098671,1.340114209,0.719634651,0.4632223,0.753217496,0.753217496,-1.230661394,-0.846662395,-0.0595706,1.297980225
1,0.226340006,-0.836999463,-1.007789386,0.719634651,0.4632223,0.445515096,0.445515096,0.191100325,-0.162951174,-0.0595706,-0.493548638
1,1.641487512,0.605553687,0.663044335,-0.739084236,0.4632223,1.358322635,1.358322635,-1.055728107,0.520760046,1.084184913,0.56029187
1,-0.400624079,-0.332974869,0.248066025,0.719634651,0.4632223,0.045115738,0.045115738,-0.808763466,-0.390854914,-0.488478917,-1.547389145
1,0.942870389,0.118909251,-0.461765294,0.719634651,-2.158790717,-1.757325101,-1.757325101,-0.937390883,-0.390854914,-2.633020502,0.665675921
0,0.495038899,-0.836999463,0.193463616,2.178353538,-2.158790717,-1.757325101,-1.757325101,-0.318264248,0.292856306,-1.775203868,-1.547389145
0,-1.654552249,0.118909251,0.848692527,-0.739084236,0.4632223,1.225070759,1.225070759,0.216825808,-0.618758655,0.369337718,1.824900479
1,-0.490190377,-0.141793126,-1.44460866,-0.739084236,0.4632223,0.78540394,0.78540394,-0.882509852,-0.276903044,-1.060356673,-1.547389145
1,1.122002984,0.379611627,1.067102163,-0.739084236,0.4632223,0.206047956,0.206047956,-0.493197535,-0.960614265,-0.0595706,0.981828073
1,-0.400624079,0.90101638,0.193463616,-0.739084236,0.4632223,0.173861512,0.173861512,0.028172263,-0.390854914,0.512307157,-1.547389145
