Gender,Percent_SSC,Percent_HSC,Percent_Degree,Experience_Yrs,S-TEST,Percentile_ET,S-TEST*SCORE,Percent_MBA,Marks_Communication,Marks_Projectwork,Marks_BOCA,Stream_HSC_Arts,Stream_HSC_Commerce,Stream_HSC_Science,Board_SSC_CBSE,Board_SSC_ICSE,Board_SSC_Others,Board_HSC_CBSE,Board_HSC_ISC,Board_HSC_Others,Course_Degree_Arts,Course_Degree_Commerce,Course_Degree_Computer Applications,Course_Degree_Engineering,Course_Degree_Management,Course_Degree_Others,Course_Degree_Science,Specialization_MBA_Marketing & Finance,Specialization_MBA_Marketing & HR,Specialization_MBA_Marketing & IB
1,48.6,59.8,66.2,0,1,84.27,84.27,67.2,52,70,71,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1,59,81,70,0,0,0,0,71.86,79,73,66,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1,82.6,64,56,1,1,0,0,68.85,71,76,60,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
0,68,74,70,2,1,68,68,64.08,63,79,77,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,58,75,68,1,0,0,0,55.6,53,75,52,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,57,62.4,48,1,1,66.6,66.6,56.75,52,71,69,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1,70,75,60,0,1,77,77,51.29,60,56,52,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
0,81,81,82.2,0,0,0,0,66.9,68,68,76,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1,69.2,84.6,75.25,1,1,75.2,75.2,66.06,66,74,55,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1,84,69,61,2,1,75,75,72.29,83,62,66,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,58,67,64,0,1,78,78,60.44,54,70,60,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0,50,60,71,0,1,62,62,65.04,55,61,59,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1,50,52,70,0,1,74,74,53.62,50,74,50,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,68.4,85.6,72,1,1,70,70,63.26,75,72,57,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,58,70,67.75,1,0,0,0,57.68,67,74,53,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
0,56,74.6,60.2,2,0,0,0,63.53,65,76,80,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,76,82,70.8,1,0,0,0,69.52,69,74,71,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,68,75,61,2,1,95.46,95.46,62.16,62,72,73,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
0,78.5,70.5,65,0,1,93.91,93.91,69.03,70,73,80,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1,55.4,61.6,59,0,1,71,71,52.71,56,67,52,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1,70,76,68,0,1,91.34,91.34,61.29,63,63,75,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1,64.96,45.16,65.26,1,1,54.48,54.48,65.48,69,75,61,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
1,40.53,64.75,54.35,1,0,0,0,54.35,52,73,67,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
0,70,50,60,0,1,53.7,53.7,56.86,53,63,56,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
1,64,52,61,0,1,87.55,87.55,52.81,54,60,67,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
0,82.3,73,72.3,1,0,0,0,69.35,74,68,84,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
0,74,53,64,2,1,57.5,57.5,61.31,62,73,54,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
0,65,78,75,1,1,53,53,60.91,56,73,69,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
0,58.29,55,61,0,1,71,71,56.81,64,66,57,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
1,64,55,59,1,1,55,55,58.23,59,72,68,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1,65,57,57,0,0,0,0,59.1,54,59,61,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1,55,52,54.2,0,1,20,20,55.83,54,63,68,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
1,54,52,62,2,1,86,86,61.79,67,79,68,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
1,46,54,65,0,1,71.32,71.32,52.36,50,72,58,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
0,72,57.8,49.8,1,0,0,0,53.47,73,58,50,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
