Gender,Percent_SSC,Percent_HSC,Percent_Degree,Experience_Yrs,Board_HSC_CBSE,Board_HSC_ISC,Board_HSC_Others,Specialization_MBA_Marketing & Finance,Specialization_MBA_Marketing & HR,Specialization_MBA_Marketing & IB,Stream_HSC_Arts,Stream_HSC_Commerce,Stream_HSC_Science,Board_SSC_CBSE,Board_SSC_ICSE,Board_SSC_Others,Course_Degree_Arts,Course_Degree_Commerce,Course_Degree_Computer Applications,Course_Degree_Engineering,Course_Degree_Management,Course_Degree_Others,Course_Degree_Science
1,1.211569282,1.248619549,-1.335403842,-0.739084236,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1,0.226340006,-0.750098671,1.340114209,0.719634651,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
1,0.226340006,-0.836999463,-1.007789386,0.719634651,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1,1.641487512,0.605553687,0.663044335,-0.739084236,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
1,-0.400624079,-0.332974869,0.248066025,0.719634651,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
1,0.942870389,0.118909251,-0.461765294,0.719634651,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
0,0.495038899,-0.836999463,0.193463616,2.178353538,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
0,-1.654552249,0.118909251,0.848692527,-0.739084236,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
1,-0.490190377,-0.141793126,-1.44460866,-0.739084236,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
1,1.122002984,0.379611627,1.067102163,-0.739084236,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1,-0.400624079,0.90101638,0.193463616,-0.739084236,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,1.291283287,1.420683117,0.914215418,-0.739084236,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0,-2.433779041,-1.671247068,-3.082680936,-0.739084236,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1,-0.36479756,-1.028181206,1.263670837,-0.739084236,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
1,-0.848455569,0.379611627,0.848692527,0.719634651,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
0,0.892713262,2.204528262,0.739487708,0.719634651,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
1,0.405472602,0.118909251,0.521078071,0.719634651,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
1,-0.221491484,0.058078696,0.302668435,-0.739084236,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,-1.421679875,-0.332974869,0.324509398,-0.739084236,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,-0.490190377,1.509321925,0.739487708,-0.739084236,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
1,1.623574252,0.032008458,-0.78937975,0.719634651,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
0,0.315906304,0.90101638,0.739487708,2.178353538,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,-0.579756675,0.987917172,0.521078071,0.719634651,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1,-0.669322973,-0.107032809,-1.663018297,0.719634651,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
1,0.495038899,0.987917172,-0.352560476,-0.739084236,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
0,1.480268176,1.509321925,2.071786493,-0.739084236,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,0.423385861,1.822164777,1.312813005,0.719634651,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
1,1.748967069,0.466512419,-0.243355658,2.178353538,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1,-0.579756675,0.292710835,0.084258798,-0.739084236,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
0,-1.296287058,-0.31559471,0.848692527,-0.739084236,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
1,-1.296287058,-1.010801047,0.739487708,-0.739084236,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
1,0.351732823,1.909065569,0.957897345,0.719634651,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
1,-0.579756675,0.553413211,0.493776867,0.719634651,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
0,-0.758889271,0.953156855,-0.330719512,2.178353538,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0,1.032436687,1.596222717,0.826851563,0.719634651,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
1,0.315906304,0.987917172,-0.243355658,2.178353538,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
0,1.256352431,0.596863607,0.193463616,-0.739084236,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
1,-0.812629049,-0.176553443,-0.461765294,-0.739084236,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
1,0.495038899,1.074817964,0.521078071,-0.739084236,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,0.043624758,-1.605202466,0.221856869,0.719634651,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
1,-2.144479899,0.097184053,-0.9695677,0.719634651,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
0,0.495038899,-1.184602632,-0.352560476,-0.739084236,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,-0.042358888,-1.010801047,-0.243355658,-0.739084236,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,1.596704363,0.814115588,0.990658791,0.719634651,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
0,0.853304091,-0.923900255,0.084258798,2.178353538,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,0.04720741,1.248619549,1.2855118,0.719634651,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
0,-0.553782449,-0.750098671,-0.243355658,-0.739084236,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,-0.042358888,-0.750098671,-0.461765294,0.719634651,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
1,0.04720741,-0.576297087,-0.680174931,-0.739084236,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
1,-0.848455569,-1.010801047,-0.985948423,-0.739084236,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,-0.938021866,-1.010801047,-0.134150839,2.178353538,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1,-1.654552249,-0.836999463,0.193463616,-0.739084236,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,0.674171495,-0.506776453,-1.466449624,0.719634651,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
0,-0.042358888,-0.576297087,0.193463616,0.719634651,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,1.30113558,-0.402495502,-0.352560476,0.719634651,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
0,1.569834474,2.030726678,1.831535892,-0.739084236,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
0,0.853304091,0.379611627,1.722331074,0.719634651,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,1.211569282,-1.445305008,-1.116994205,-0.739084236,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1,0.136773708,-1.5322058,0.193463616,-0.739084236,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,-1.385853356,-0.993420889,2.377559984,-0.739084236,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1,-1.385853356,-0.750098671,-0.680174931,0.719634651,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1,0.495038899,0.987917172,0.848692527,0.719634651,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
1,1.023480057,0.553413211,1.067102163,0.719634651,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1.032436687,-0.663197879,1.121704573,0.719634651,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
